Circonscription,Etiquette
01-01,PS
01-02,PE
01-03,FI
01-04,PE
01-05,FI
02-01,PS
02-02,FI
02-03,PS
02-04,PS
02-05,PS
03-01,PCF
03-02,FI
03-03,PS
04-01,PE
04-02,FI
05-01,PS
05-02,PS
06-01,FI
06-02,FI
06-03,PS
06-04,PCF
06-05,PE
06-06,FI
06-07,FI
06-08,FI
06-09,PS
07-01,PS
07-02,PS
07-03,FI
08-01,PS
08-02,FI
08-03,FI
09-01,PS
09-02,PS
10-01,PS
10-02,PS
10-03,PS
11-01,FI
11-02,PE
11-03,PS
12-01,PE
12-02,FI
12-03,PS
13-01,PS
13-02,PE
13-03,PS
13-04,FI
13-05,FI
13-06,PE
13-07,FI
13-08,FI
13-09,PS
13-10,FI
13-11,PS
13-12,PS
13-13,PCF
13-14,PS
13-15,FI
13-16,PCF
14-01,FI
14-02,PS
14-03,PS
14-04,PCF
14-05,PE
14-06,FI
15-01,PS
15-02,FI
16-01,FI
16-02,FI
16-03,PS
17-01,PE
17-02,PE
17-03,PS
17-04,FI
17-05,PS
18-01,PS
18-02,PCF
18-03,FI
19-01,PS
19-02,PE
21-01,PS
21-02,PE
21-03,PS
21-04,FI
21-05,PCF
22-01,FI
22-02,PE
22-03,PS
22-04,FI
22-05,FI
23-01,FI
24-01,FI
24-02,PS
24-03,PS
24-04,PE
25-01,FI
25-02,PE
25-03,PCF
25-04,PS
25-05,FI
26-01,PS
26-02,FI
26-03,PE
26-04,PS
27-01,PS
27-02,PS
27-03,FI
27-04,PS
27-05,PE
28-01,PE
28-02,PS
28-03,PS
28-04,PS
29-01,PE
29-02,FI
29-03,FI
29-04,PE
29-05,PCF
29-06,PS
29-07,FI
29-08,FI
30-01,FI
30-02,PS
30-03,PCF
30-04,PS
30-05,FI
30-06,PE
31-01,FI
31-02,FI
31-03,FI
31-04,FI
31-05,FI
31-06,PS
31-07,FI
31-08,PS
31-09,PE
31-10,PS
32-01,FI
32-02,PS
33-01,PE
33-02,PE
33-03,FI
33-04,PS
33-05,PS
33-06,PS
33-07,PS
33-08,PCF
33-09,PS
33-10,PE
33-11,FI
33-12,FI
34-01,PE
34-02,FI
34-03,PS
34-04,FI
34-05,PS
34-06,FI
34-07,PCF
34-08,FI
34-09,FI
35-01,FI
35-02,PE
35-03,PS
35-04,FI
35-05,FI
35-06,PCF
35-07,FI
35-08,PS
36-01,FI
36-02,PS
37-01,PE
37-02,FI
37-03,FI
37-04,PS
37-05,PCF
38-01,FI
38-02,PE
38-03,FI
38-04,PS
38-05,PE
38-06,FI
38-07,PCF
38-08,PE
38-09,FI
38-10,FI
39-01,FI
39-02,PCF
39-03,PE
40-01,PS
40-02,PCF
40-03,PS
41-01,FI
41-02,PCF
41-03,PE
42-01,PS
42-02,FI
42-03,PCF
42-04,FI
42-05,FI
42-06,FI
43-01,PE
43-02,PS
44-01,PS
44-02,FI
44-03,FI
44-04,PE
44-05,PS
44-06,PE
44-07,PCF
44-08,FI
44-09,FI
44-10,FI
45-01,PS
45-02,PE
45-03,FI
45-04,PCF
45-05,FI
45-06,PS
46-01,FI
46-02,PS
47-01,PE
47-02,PS
47-03,FI
48-01,PS
49-01,PE
49-02,FI
49-03,FI
49-04,PCF
49-05,FI
49-06,FI
49-07,PS
50-01,PE
50-02,FI
50-03,PCF
50-04,PS
51-01,PE
51-02,FI
51-03,PCF
51-04,FI
51-05,PS
52-01,PS
52-02,FI
53-01,PS
53-02,PE
53-03,PS
54-01,PS
54-02,PS
54-03,FI
54-04,PE
54-05,PS
54-06,FI
55-01,PS
55-02,PS
56-01,PS
56-02,FI
56-03,FI
56-04,PCF
56-05,PE
56-06,FI
57-01,FI
57-02,PS
57-03,FI
57-04,PCF
57-05,FI
57-06,FI
57-07,PE
57-08,FI
57-09,PS
58-01,FI
58-02,PS
59-01,FI
59-02,FI
59-03,PS
59-04,PS
59-05,FI
59-06,FI
59-07,PE
59-08,FI
59-09,PE
59-10,FI
59-11,PS
59-12,PCF
59-13,FI
59-14,FI
59-15,PE
59-16,PCF
59-17,PS
59-18,FI
59-19,FI
59-20,PCF
59-21,FI
60-01,PCF
60-02,FI
60-03,FI
60-04,FI
60-05,PE
60-06,PS
60-07,PCF
61-01,PS
61-02,PS
61-03,PS
62-01,FI
62-02,PE
62-03,PCF
62-04,PS
62-05,PS
62-06,PS
62-07,PE
62-08,PS
62-09,PS
62-10,PS
62-11,PS
62-12,PS
63-01,FI
63-02,PS
63-03,PE
63-04,FI
63-05,PCF
64-01,PS
64-02,PE
64-03,PS
64-04,PS
64-05,FI
64-06,PS
65-01,FI
65-02,PS
66-01,PS
66-02,PE
66-03,FI
66-04,FI
67-01,PE
67-02,FI
67-03,PS
67-04,FI
67-05,PS
67-06,PE
67-07,FI
67-08,FI
67-09,PS
68-01,PS
68-02,FI
68-03,FI
68-04,FI
68-05,PE
68-06,FI
69-01,FI
69-02,PE
69-03,PE
69-04,PS
69-05,PS
69-06,FI
69-07,FI
69-08,PS
69-09,PS
69-10,PS
69-11,PCF
69-12,PE
69-13,FI
69-14,FI
70-01,FI
70-02,PS
71-01,PE
71-02,PCF
71-03,FI
71-04,PS
71-05,FI
72-01,FI
72-02,PS
72-03,FI
72-04,FI
72-05,PS
73-01,PCF
73-02,PS
73-03,FI
73-04,FI
74-01,FI
74-02,PE
74-03,FI
74-04,PS
74-05,PS
74-06,PS
75-01,FI
75-02,PS
75-03,PE
75-04,PS
75-05,PE
75-06,FI
75-07,PS
75-08,PE
75-09,PE
75-10,FI
75-11,PS
75-12,PCF
75-13,PE
75-14,FI
75-15,FI
75-16,FI
75-17,FI
75-18,FI
76-01,PS
76-02,PS
76-03,PCF
76-04,FI
76-05,PS
76-06,PCF
76-07,PS
76-08,PCF
76-09,FI
76-10,PE
77-01,FI
77-02,FI
77-03,FI
77-04,FI
77-05,FI
77-06,FI
77-07,FI
77-08,PE
77-09,PS
77-10,FI
77-11,PS
78-01,FI
78-02,PE
78-03,PS
78-04,FI
78-05,FI
78-06,FI
78-07,PS
78-08,PE
78-09,PS
78-10,FI
78-11,FI
78-12,PE
79-01,PS
79-02,PE
79-03,FI
80-01,FI
80-02,FI
80-03,PCF
80-04,PE
80-05,FI
81-01,PS
81-02,FI
81-03,FI
82-01,PS
82-02,FI
83-01,FI
83-02,FI
83-03,PS
83-04,FI
83-05,FI
83-06,PCF
83-07,PE
83-08,PS
84-01,FI
84-02,PS
84-03,PCF
84-04,FI
84-05,PE
85-01,PE
85-02,FI
85-03,FI
85-04,PCF
85-05,PS
86-01,PE
86-02,FI
86-03,PS
86-04,PS
87-01,FI
87-02,PS
87-03,FI
88-01,FI
88-02,FI
88-03,PS
88-04,FI
89-01,PE
89-02,FI
89-03,PS
90-01,PS
90-02,FI
91-01,FI
91-02,FI
91-03,PE
91-04,PCF
91-05,PE
91-06,PS
91-07,FI
91-08,FI
91-09,PE
91-10,FI
92-01,PCF
92-02,PE
92-03,PS
92-04,PE
92-05,PS
92-06,FI
92-07,FI
92-08,PS
92-09,PE
92-10,PS
92-11,FI
92-12,PS
92-13,PS
93-01,FI
93-02,PCF
93-03,FI
93-04,PCF
93-05,FI
93-06,FI
93-07,FI
93-08,PS
93-09,FI
93-10,FI
93-11,FI
93-12,FI
94-01,FI
94-02,FI
94-03,FI
94-04,FI
94-05,PCF
94-06,PE
94-07,FI
94-08,PS
94-09,PS
94-10,FI
94-11,PE
95-01,FI
95-02,PS
95-03,PCF
95-04,FI
95-05,FI
95-06,FI
95-07,PS
95-08,FI
95-09,FI
95-10,FI
99-01,PE
99-02,PE
99-03,PE
99-04,PS
99-05,FI
99-06,PS
99-07,FI
99-08,FI
99-09,PE
99-10,PS
99-11,PS